Nickname,Defender Score,Attacker Score,Time (sec),Winner,Level
u20444550,8,5,138,Defender,Expert
u20444550,8,5,137,Defender,Expert
u20444550,10,3,118,Defender,Expert
u20444550,8,5,112,Defender,Expert
u20444550,9,4,107,Defender,Expert
u20444550,9,4,105,Defender,Expert
u20444550,8,5,103,Defender,Expert
u20444550,8,5,103,Defender,Expert
u20444550,10,3,220,Defender,Beginner
u20444550,6,7,209,Attacker,Beginner
u20444550,4,9,128,Attacker,Beginner
u21791938,10,3,197,Defender,Intermediate
u21791938,9,4,187,Defender,Intermediate
u21791938,8,5,178,Defender,Intermediate
u21791938,10,3,166,Defender,Intermediate
u21791938,4,9,261,Attacker,Beginner
u21791938,8,5,220,Defender,Beginner
u21791938,8,5,214,Defender,Beginner
u21791938,7,6,207,Defender,Beginner
u21791938,6,7,201,Attacker,Beginner
u21791938,5,8,184,Attacker,Beginner
u21791938,6,7,182,Attacker,Beginner
Zulu,4,9,472,Attacker,Beginner
ZOOL,7,6,294,Defender,Beginner
zuluu,6,7,290,Attacker,Beginner
zuloo,5,8,283,Attacker,Beginner
zoolu,5,8,283,Attacker,Beginner
zul,6,7,281,Attacker,Beginner
zooloo,4,9,278,Attacker,Beginner
zuu,6,7,278,Attacker,Beginner
zooll,6,7,277,Attacker,Beginner
zzulu,5,8,275,Attacker,Beginner
zullu,6,7,268,Attacker,Beginner
Daisy,7,6,151,Defender,Expert
Daisy,7,6,162,Defender,Intermediate
Daisy,5,8,297,Attacker,Beginner
Daisy,5,8,180,Attacker,Beginner
Daisy,6,7,151,Attacker,Beginner
Daisy,4,9,149,Attacker,Beginner
Daisy,3,10,148,Attacker,Beginner
Daisy,4,9,148,Attacker,Beginner
Daisy,4,9,147,Attacker,Beginner
Daisy,6,7,145,Attacker,Beginner
Daisy,6,7,127,Attacker,Beginner
mary,10,3,155,Defender,Expert
Moses,8,5,152,Defender,Expert
abraham,8,5,140,Defender,Expert
aaron,9,4,118,Defender,Expert
Tito,8,5,179,Defender,Intermediate
sipho,7,6,795,Defender,Beginner
Moses,9,4,594,Defender,Beginner
Ree,8,5,412,Defender,Beginner
Ree,5,8,336,Attacker,Beginner
